4.16,12,14700,1550,7760,114,645,608,1.66,8.95,1.02,17.4,0.344,0.971
1.14,3,2120,1400,6670,10.2,490,551,1.17,6.28,1.02,0.373,0.118,0.989
7.15,21,39000,2680,9130,332,835,694,2.97,15.6,1.04,44.6,0.883,0.965
9.3,27,72800,3560,9770,645,1100,785,4.5,22.7,1.05,91.4,1.81,0.958
6.18,18,29800,2310,8830,246,766,667,2.5,13.1,1.03,33.7,0.666,0.97
2.09,6,6040,1350,6730,23.4,589,566,1.3,7.05,1.02,21.7,0.253,0.998
4.16,12,14700,1550,7750,114,624,602,1.66,8.84,1.02,16.4,0.325,0.989
1.14,3,4550,1320,6670,5.6,585,562,1.24,6.65,1.02,31,0.251,0.976
9.3,27,72800,3560,9750,645,1080,779,4.52,22.8,1.05,90,1.78,0.976
6.18,18,29800,2310,8810,246,765,665,2.51,13.2,1.03,33.7,0.667,0.98
8.21,24,51000,3090,9300,438,909,727,3.59,18.4,1.04,59.3,1.17,0.99
7.15,21,39000,2680,9130,332,848,698,2.96,15.6,1.04,45.4,0.899,0.954
8.21,24,51000,3090,9310,438,924,733,3.58,18.4,1.04,60.3,1.2,0.971
4.16,12,14700,1550,7700,114,638,604,1.67,9.01,1.02,17.1,0.339,0.994
2.09,6,6900,1370,6790,26.7,598,569,1.33,7.12,1.02,13.1,0.262,0.991
4.16,12,14700,1550,7740,114,625,602,1.66,8.86,1.02,16.5,0.327,0.99
5.14,15,21600,1920,8480,175,710,638,2.08,11.1,1.03,25.3,0.501,0.975
2.09,6,2930,1370,6830,27.1,500,559,1.2,6.45,1.02,6.1,0.128,0.967
1.14,3,1040,1380,6750,9.28,466,550,1.13,5.99,1.02,0,0.086,0.956
3.14,9,8380,1390,7150,60.4,590,584,1.39,7.45,1.02,12.4,0.246,0.954
9.3,27,72800,3560,9790,645,1100,785,4.48,22.3,1.05,90.4,1.79,0.953
4.16,12,14700,1550,7780,114,647,610,1.66,8.93,1.02,17.5,0.346,0.962
7.15,21,39000,2680,9120,332,814,685,2.98,15.6,1.04,43.4,0.858,0.989
8.21,24,51000,3090,9300,438,900,725,3.59,18.3,1.04,58.6,1.16,0.993
2.09,6,5350,1400,6770,31.7,562,567,1.29,6.99,1.02,0,0.201,0.988
9.3,27,72800,3560,9780,645,1090,782,4.5,22.5,1.05,90,1.78,0.963
9.3,27,72800,3560,9750,645,1070,775,4.52,22.6,1.05,88.5,1.75,0.982
2.09,6,3480,1380,6830,29.3,511,561,1.23,6.56,1.02,0.137,0.138,0.971
4.16,12,14700,1550,7690,114,639,603,1.67,9.04,1.02,17.2,0.34,0.998
6.18,18,29800,2310,8800,246,759,662,2.51,13.2,1.03,33.4,0.661,0.993
6.18,18,29800,2310,8800,246,777,667,2.51,13.3,1.03,34.5,0.683,0.981
6.18,18,29800,2310,8840,246,790,674,2.5,13.2,1.03,35.1,0.695,0.95
9.3,27,72800,3560,9780,645,1110,789,4.49,22.7,1.05,92.2,1.83,0.95
5.14,15,21600,1920,8500,175,706,639,2.08,11,1.03,25,0.495,0.963
4.16,12,14700,1550,7770,114,645,608,1.66,8.94,1.02,17.4,0.344,0.968
2.09,6,3880,1350,6760,22.5,519,555,1.23,6.57,1.02,20.7,0.172,1
7.15,21,39000,2680,9130,332,832,693,2.97,15.5,1.04,44.4,0.879,0.966
3.14,9,8370,1390,7030,60.3,589,579,1.39,7.59,1.02,12.4,0.246,0.988
4.16,12,14700,1550,7810,114,641,609,1.66,8.85,1.02,17.1,0.339,0.959
4.16,12,14700,1550,7810,114,635,607,1.66,8.81,1.02,16.9,0.334,0.964
7.15,21,39000,2680,9130,332,822,691,2.97,15.4,1.04,43.7,0.864,0.969
4.16,12,14700,1550,7780,114,642,608,1.66,8.92,1.02,17.3,0.342,0.968
2.09,6,3160,1350,6810,23.6,520,562,1.21,6.51,1.02,17.3,0.159,0.963
7.15,21,39000,2680,9120,332,808,684,2.98,15.5,1.04,42.9,0.849,0.989
6.18,18,29800,2310,8810,246,766,665,2.51,13.2,1.03,33.8,0.669,0.983
7.15,21,39000,2680,9130,332,820,689,2.97,15.4,1.04,43.5,0.862,0.973
4.16,12,14700,1550,7740,114,631,603,1.66,8.91,1.02,16.8,0.332,0.988
1.14,3,5120,1320,6670,5.78,602,566,1.26,6.76,1.02,30.6,0.27,0.972
5.14,15,21600,1920,8470,175,683,629,2.09,11,1.03,23.9,0.472,1
7.15,21,39000,2680,9140,332,830,694,2.96,15.4,1.04,44.1,0.873,0.961
3.14,9,8380,1390,7050,60.3,580,578,1.39,7.52,1.02,12.1,0.239,0.989
4.16,12,14700,1550,7750,114,624,602,1.66,8.84,1.02,16.4,0.326,0.988
3.14,9,8380,1390,7060,60.3,582,579,1.39,7.52,1.02,12.2,0.241,0.985
5.14,15,21600,1920,8470,175,695,633,2.09,11.1,1.03,24.6,0.486,0.991
5.14,15,21600,1920,8500,175,722,644,2.08,11.1,1.03,25.8,0.512,0.951
4.16,12,14700,1550,7740,114,626,602,1.66,8.88,1.02,16.5,0.327,0.992
8.21,24,51000,3090,9320,438,947,740,3.58,18.6,1.04,62,1.23,0.953
5.14,15,21600,1920,8490,175,715,641,2.08,11.1,1.03,25.5,0.505,0.963
3.14,9,8380,1390,7100,60.4,594,584,1.39,7.52,1.02,12.6,0.25,0.962
4.16,12,14700,1550,7780,114,639,607,1.66,8.88,1.02,17.1,0.338,0.968
4.16,12,14700,1550,7770,114,626,603,1.66,8.81,1.02,16.5,0.326,0.981
2.09,6,3680,1390,6790,29.9,519,562,1.23,6.66,1.02,0,0.147,0.98
9.3,27,72800,3560,9730,645,1050,770,4.55,22.8,1.05,87.4,1.73,1
7.15,21,39000,2680,9130,332,826,692,2.97,15.5,1.04,43.9,0.87,0.968
5.14,15,21600,1920,8470,175,713,638,2.09,11.2,1.03,25.5,0.504,0.98
2.09,6,3180,1350,6810,23.5,522,562,1.21,6.52,1.02,17.6,0.161,0.963
4.16,12,14700,1550,7710,114,628,601,1.67,8.94,1.02,16.7,0.33,0.998
6.18,18,29800,2310,8810,246,759,663,2.51,13.1,1.03,33.3,0.659,0.986
7.15,21,39000,2680,9110,332,812,683,2.99,15.7,1.04,43.3,0.858,0.999
6.18,18,29800,2310,8830,246,768,668,2.5,13.1,1.03,33.8,0.669,0.965
8.21,24,51000,3090,9310,438,927,732,3.59,18.6,1.04,60.7,1.2,0.977
8.21,24,51000,3090,9300,438,928,731,3.6,18.7,1.04,60.9,1.21,0.982
4.16,12,14700,1550,7770,114,638,606,1.66,8.89,1.02,17,0.338,0.973
3.14,9,8380,1390,7080,60.3,589,581,1.39,7.52,1.02,12.4,0.246,0.972
7.15,21,39000,2680,9130,332,851,699,2.96,15.6,1.04,45.6,0.902,0.95
9.3,27,72800,3560,9750,645,1080,778,4.52,22.7,1.05,89.4,1.77,0.978
5.14,15,21600,1920,8500,175,699,637,2.08,10.9,1.03,24.6,0.487,0.965
3.14,9,8380,1390,7140,60.4,592,584,1.39,7.47,1.02,12.5,0.248,0.955
6.18,18,29800,2310,8790,246,779,667,2.52,13.4,1.03,34.7,0.687,0.988
5.14,15,21600,1920,8490,175,708,638,2.08,11.1,1.03,25.1,0.498,0.971
8.21,24,51000,3090,9300,438,922,730,3.6,18.6,1.04,60.4,1.2,0.984
6.18,18,29800,2310,8820,246,772,668,2.51,13.2,1.03,34.1,0.675,0.972
5.14,15,21600,1920,8460,175,705,635,2.09,11.2,1.03,25.1,0.496,0.988
3.14,9,8380,1390,7100,60.3,580,579,1.39,7.46,1.02,12,0.238,0.976
3.14,9,8380,1390,7160,60.4,582,582,1.39,7.4,1.02,12.1,0.24,0.958
4.16,12,14700,1550,7780,114,635,606,1.66,8.87,1.02,16.9,0.335,0.972
4.16,12,14700,1550,7730,114,619,600,1.66,8.85,1.02,16.3,0.322,0.999
1.14,3,6780,1370,6660,8.53,621,568,1.32,7.08,1.02,7.21,0.285,0.995
5.14,15,21600,1920,8500,175,709,640,2.08,11,1.03,25.2,0.499,0.962
4.16,12,14700,1550,7750,114,645,608,1.66,8.99,1.02,17.4,0.345,0.975
5.14,15,21600,1920,8450,175,703,633,2.09,11.2,1.03,25,0.495,0.997
7.15,21,39000,2680,9130,332,842,695,2.97,15.7,1.04,45.1,0.893,0.963
1.14,3,1350,1390,6700,9.86,483,554,1.14,6.16,1.02,0,0.102,0.961
8.21,24,51000,3090,9300,438,923,729,3.6,18.7,1.04,60.6,1.2,0.988
7.15,21,39000,2680,9140,332,826,694,2.95,15.3,1.04,43.7,0.866,0.956
8.21,24,51000,3090,9330,438,926,738,3.56,18.1,1.04,60,1.19,0.951
3.14,9,8380,1390,7100,60.3,580,580,1.39,7.45,1.02,12.1,0.239,0.974
3.14,9,8380,1390,7090,60.3,584,580,1.39,7.49,1.02,12.2,0.242,0.975
3.14,9,8380,1390,7120,60.4,584,582,1.39,7.45,1.02,12.2,0.242,0.965
4.16,12,14700,1550,7750,114,625,602,1.66,8.85,1.02,16.5,0.326,0.989
8.21,24,51000,3090,9320,438,941,739,3.57,18.5,1.04,61.5,1.22,0.954
1.14,3,4870,1410,6720,11,575,566,1.27,6.81,1.02,0,0.216,0.974
7.15,21,39000,2680,9120,332,840,694,2.97,15.7,1.04,45.1,0.892,0.968
6.18,18,29800,2310,8820,246,757,663,2.51,13.1,1.03,33.2,0.657,0.983
2.09,6,6890,1380,6800,28.5,598,570,1.33,7.14,1.02,7.75,0.257,0.987
5.14,15,21600,1920,8470,175,703,635,2.09,11.2,1.03,25,0.494,0.988
5.14,15,21600,1920,8470,175,683,629,2.09,11,1.03,23.9,0.473,1
9.3,27,72800,3560,9750,645,1060,774,4.53,22.7,1.05,88.5,1.75,0.986
1.14,3,323,1340,6700,7.04,450,545,1.1,5.83,1.02,9.46,0.075,0.962
7.15,21,39000,2680,9140,332,818,690,2.96,15.3,1.04,43.3,0.857,0.967
9.3,27,72800,3560,9740,645,1060,772,4.54,22.8,1.05,88,1.74,0.994
4.16,12,14700,1550,7770,114,648,609,1.66,8.96,1.02,17.5,0.347,0.965
